NAMELSAD,std_dev_all,std_dev_2,std_dev_3,std_dev_4,std_dev_5,std_dev_6,std_dev_7,std_dev_8,std_dev_9,std_dev_10,std_dev_11,std_dev_12,std_dev_13,std_dev_14,std_dev_15,avg_std_dev_2_to_4,count_centers_x,count_centers_y
"Abilene, TX Metro Area",,,,,,,,,,,,,,,,,1,1
"Akron, OH Metro Area",0.7162,1.5108,0.6967,0.5774,0.5837,0.6209,0.661,0.694,0.7162,,,,,,,0.961,9,9
"Albany, GA Metro Area",,,,,,,,,,,,,,,,,1,1
"Albany-Lebanon, OR Metro Area",,,,,,,,,,,,,,,,,1,1
"Albany-Schenectady-Troy, NY Metro Area",0.8426,0.9219,0.671,0.6735,0.7211,0.7684,0.7953,0.8206,0.8426,,,,,,,0.7646,9,9
"Albuquerque, NM Metro Area",0.8862,0.8171,0.742,0.7187,0.7438,0.7809,0.8143,0.845,0.8688,0.8862,,,,,,0.7626,10,10
"Alexandria, LA Metro Area",,,,,,,,,,,,,,,,,1,1
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0.438,0.1396,0.2692,0.438,,,,,,,,,,,,0.2735,4,4
"Altoona, PA Metro Area",0.1385,0.1385,,,,,,,,,,,,,,,2,2
"Amarillo, TX Metro Area",0.3216,0.3216,,,,,,,,,,,,,,,2,2
"Ames, IA Metro Area",,,,,,,,,,,,,,,,,1,1
"Ann Arbor, MI Metro Area",0.2326,0.2326,,,,,,,,,,,,,,,2,2
"Anniston-Oxford, AL Metro Area",,,,,,,,,,,,,,,,,1,1
"Appleton, WI Metro Area",,,,,,,,,,,,,,,,,1,1
"Asheville, NC Metro Area",0.193,0.0601,0.193,,,,,,,,,,,,,,3,3
"Athens-Clarke County, GA Metro Area",,,,,,,,,,,,,,,,,1,1
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",1.0396,0.1582,0.2993,0.4752,0.6101,0.7097,0.7807,0.8346,0.8761,0.9084,0.9338,0.9539,0.9701,0.9831,0.9937,0.3015,25,25
"Atlantic City-Hammonton, NJ Metro Area",,,,,,,,,,,,,,,,,1,1
"Auburn-Opelika, AL Metro Area",0.8103,0.8103,,,,,,,,,,,,,,,2,2
"Augusta-Richmond County, GA-SC Metro Area",0.2285,0.1287,0.2285,,,,,,,,,,,,,,3,3
"Austin-Round Rock-Georgetown, TX Metro Area",0.808,1.4932,1.3028,0.8398,0.736,0.7104,0.7189,0.7386,0.7581,0.7717,0.7856,0.7994,0.808,,,1.23,13,13
"Bakersfield, CA Metro Area",0.6771,1.663,0.7266,0.557,0.5405,0.5639,0.6026,0.6424,0.6771,,,,,,,1.0206,9,9
"Baltimore-Columbia-Towson, MD Metro Area",1.0131,0.1157,0.2577,0.4239,0.564,0.6703,0.7486,0.8075,0.8526,0.8877,0.9155,0.9377,0.9556,0.9703,0.9824,0.2566,19,19
"Bangor, ME Metro Area",0.389,0.389,,,,,,,,,,,,,,,2,2
"Barnstable Town, MA Metro Area",0.3323,0.3323,,,,,,,,,,,,,,,2,2
