NAMELSAD,std_dev_all,std_dev_2,std_dev_3,std_dev_4,std_dev_5,std_dev_6,std_dev_7,std_dev_8,std_dev_9,std_dev_10,std_dev_11,std_dev_12,std_dev_13,std_dev_14,std_dev_15,avg_std_dev_2_to_4
"Sacramento-Roseville-Folsom, CA Metro Area",0.4693995777794424,0.4208134740781895,0.32245283910818245,0.31893822223569324,0.33039551693327374,0.35047623826110896,0.3693435717796876,0.3887668850690149,0.40750509181472905,0.42475165733353026,0.44114109785957545,0.4555783334999549,0.4693995777794424,,,0.3540681784740218
"Saginaw, MI Metro Area",0.02786028728541179,0.02786028728541179,,,,,,,,,,,,,,0.0
"Salem, OR Metro Area",0.34340610289629925,0.1431624112097435,0.17998915859916176,0.2240057940495941,0.2711805864611685,0.30951542672321763,0.34340610289629914,,,,,,,,,0.1823857879528331
"Salinas, CA Metro Area",0.4484579462695427,0.3380496796278416,0.31352665148371583,0.33389442423879556,0.3641133615310713,0.3893180559195274,0.4139891857456105,0.43624343901019835,0.44845794626954283,,,,,,,0.328490251783451
"Salisbury, MD-DE Metro Area",0.25630940505478184,0.07820578285568391,0.12712340222648766,0.1969300924973335,0.25630940505478184,,,,,,,,,,,0.13408642585983502
"Salt Lake City, UT Metro Area",0.2276613934050551,0.6826681448632668,0.3061309040351262,0.23614532175139036,0.2276613934050551,,,,,,,,,,,0.40831479021659445
"San Angelo, TX Metro Area",0.0,,,,,,,,,,,,,,,0.0
"San Antonio-New Braunfels, TX Metro Area",0.24156505501400194,0.4180383652419316,0.23504322656769816,0.2198715597295673,0.24156505501400194,,,,,,,,,,,0.290984383846399
"San Diego-Chula Vista-Carlsbad, CA Metro Area",0.5786916748710698,0.22027213567343717,0.25420496227680967,0.30699118184481566,0.33948457375203256,0.37064487658996215,0.40023486795849306,0.42321949843001594,0.43968027304692414,0.4550933971321518,0.46973893652607457,0.4838077948727587,0.49695604866091025,0.5094548177132315,0.5212385888436791,0.26048942659835417
"San Francisco-Oakland-Berkeley, CA Metro Area",0.35600813902735584,0.13642852547914985,0.14888692246449597,0.19343975487190002,0.24021226751069014,0.2839155610279791,0.32244336107699056,0.35600813902735584,,,,,,,,0.15958506760518196
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",0.43998310528115914,0.388532356916939,0.35549969909212364,0.30959015895447484,0.3170198895506988,0.33701275224612137,0.3592558694690532,0.3816205091442386,0.40298787911652023,0.42234696125814064,0.43998310528115914,,,,,0.3512074049878458
"San Luis Obispo-Paso Robles, CA Metro Area",0.4092440655918973,0.8224086449594767,0.5301906989012801,0.4092440655918973,,,,,,,,,,,,0.5872811364842181
"Santa Cruz-Watsonville, CA Metro Area",0.6823244766386852,0.6823244766386852,,,,,,,,,,,,,,0.0
"Santa Fe, NM Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Santa Maria-Santa Barbara, CA Metro Area",0.3072940988147168,0.6182580595522044,0.6087519423806165,0.3702443607350733,0.3072940988147168,,,,,,,,,,,0.5324181208892981
"Santa Rosa-Petaluma, CA Metro Area",0.3316025881963315,0.3421928148734914,0.36723757010945124,0.3311027037469031,0.31838586198911367,0.3316025881963315,,,,,,,,,,0.3468443629099485
"Savannah, GA Metro Area",0.0,,,,,,,,,,,,,,,0.0
