NAMELSAD,std_dev_all,std_dev_2,std_dev_3,std_dev_4,std_dev_5,std_dev_6,std_dev_7,std_dev_8,std_dev_9,std_dev_10,std_dev_11,std_dev_12,std_dev_13,std_dev_14,std_dev_15,avg_std_dev_2_to_4,count_centers
"Abilene, TX Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Akron, OH Metro Area",0.2340597878734273,0.7553887139743279,0.2632318737087901,0.22159043056642602,0.22041189224825375,0.2340597878734273,,,,,,,,,,0.413403672749848,6
"Albany, GA Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Albany-Lebanon, OR Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Albany-Schenectady-Troy, NY Metro Area",0.2918008921639157,0.46095523402152594,0.2631210567957941,0.2594040261603384,0.26863116391553676,0.2918008921639158,,,,,,,,,,0.32782677232588614,6
"Albuquerque, NM Metro Area",0.32902778391492593,0.4085676956675154,0.23064435105269088,0.236778236650113,0.2687403628427134,0.3014160887590125,0.32902778391492593,,,,,,,,,0.29199676112343975,7
"Alexandria, LA Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0.044768381944530145,0.044768381944530145,,,,,,,,,,,,,,0.0,2
"Altoona, PA Metro Area",0.0692589754816112,0.0692589754816112,,,,,,,,,,,,,,0.0,2
"Amarillo, TX Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Ames, IA Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Ann Arbor, MI Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Anniston-Oxford, AL Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Appleton, WI Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Asheville, NC Metro Area",0.030029573533069898,0.030029573533069898,,,,,,,,,,,,,,0.0,2
"Athens-Clarke County, GA Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",0.5424924595934917,0.07909044486497852,0.12104825375815287,0.18761649077946907,0.24701397981091355,0.2950207143033283,0.335668876004272,0.37036859589214133,0.3995133136456708,0.4249279918980171,0.4474695082375594,0.4676135377172381,0.4857636407138016,0.5020870230814556,0.5167607693706922,0.12925172980086683,17
"Atlantic City-Hammonton, NJ Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Auburn-Opelika, AL Metro Area",0.40515088820717704,0.40515088820717704,,,,,,,,,,,,,,0.0,2
"Augusta-Richmond County, GA-SC Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Austin-Round Rock-Georgetown, TX Metro Area",0.3351963918029799,0.746588874482929,0.5646580553438949,0.35114379436518195,0.308909034673868,0.3034652954292488,0.312811541252352,0.3240400787821246,0.3351963918029799,,,,,,,0.5541302413973352,9
"Bakersfield, CA Metro Area",0.15044993411307395,0.8315188417183422,0.20221507343095002,0.15044993411307395,,,,,,,,,,,,0.39472794975412206,4
"Baltimore-Columbia-Towson, MD Metro Area",0.413418777286196,0.03440419461636657,0.0883037154812546,0.1599554551467156,0.22267060445041098,0.2748643231803408,0.31836980278351334,0.3552085206539163,0.3864837740329933,0.413418777286196,,,,,,0.09422112174811226,10
"Bangor, ME Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Barnstable Town, MA Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Baton Rouge, LA Metro Area",0.20038991192760758,0.7242338096306825,0.24189720618100352,0.1964840399767389,0.20038991192760758,,,,,,,,,,,0.387538351929475,5
"Battle Creek, MI Metro Area",0.08081887217393813,0.08081887217393813,,,,,,,,,,,,,,0.0,2
"Bay City, MI Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Beaumont-Port Arthur, TX Metro Area",0.1991502079340025,0.09341396149077752,0.1341178513008089,0.1991502079340025,,,,,,,,,,,,0.14222734024186298,4
"Beckley, WV Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Bellingham, WA Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Bend, OR Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Billings, MT Metro Area",0.1778095644739458,0.1703462271693008,0.1778095644739458,,,,,,,,,,,,,0.0,3
"Binghamton, NY Metro Area",0.22156342054755174,0.2528276050937971,0.22156342054755174,,,,,,,,,,,,,0.0,3
"Birmingham-Hoover, AL Metro Area",0.17634995821804988,0.07654051321858268,0.11266709478632031,0.17634995821804988,,,,,,,,,,,,0.12185252207431763,4
"Bismarck, ND Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Blacksburg-Christiansburg, VA Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Bloomington, IL Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Bloomington, IN Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Boise City, ID Metro Area",0.2313755833897374,0.12081738624409677,0.16696404197449344,0.2313755833897374,,,,,,,,,,,,0.17305233720277588,4
"Boston-Cambridge-Newton, MA-NH Metro Area",0.4135925511939297,0.07175558916389857,0.11855756525190175,0.17757457239999852,0.23353635523070582,0.2812082103295661,0.32212992412699015,0.3572215592757464,0.3874415224846339,0.4135925511939297,,,,,,0.12262924227193295,10
"Boulder, CO Metro Area",0.08382026999798509,0.08382026999798509,,,,,,,,,,,,,,0.0,2
"Bowling Green, KY Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Bremerton-Silverdale-Port Orchard, WA Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Bridgeport-Stamford-Norwalk, CT Metro Area",0.1546496526708856,0.8393443760699579,0.1546496526708856,,,,,,,,,,,,,0.0,3
"Brownsville-Harlingen, TX Metro Area",0.21605348778770816,0.21766296745313807,0.21605348778770816,,,,,,,,,,,,,0.0,3
"Brunswick, GA Metro Area",0.4127050031139714,0.4127050031139714,,,,,,,,,,,,,,0.0,2
