NAMELSAD,std_dev_all,std_dev_2,std_dev_3,std_dev_4,std_dev_5,std_dev_6,std_dev_7,std_dev_8,std_dev_9,std_dev_10,std_dev_11,std_dev_12,std_dev_13,std_dev_14,std_dev_15,avg_std_dev_2_to_4,count_centers
"Abilene, TX Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Akron, OH Metro Area",0.3310781815524374,0.7553887139743279,0.30195728548307654,0.24144196998391254,0.24499421703707414,0.26568472475474814,0.28997098224292395,0.31260488028411226,0.3310781815524373,,,,,,,0.4329293231471057,9
"Albany, GA Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Albany-Lebanon, OR Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Albany-Schenectady-Troy, NY Metro Area",0.38951893035372087,0.46095523402152594,0.290814687589784,0.28164175087888144,0.3026709767697836,0.32880756070271167,0.34889249724007054,0.36962031774180193,0.38951893035372087,,,,,,,0.34447055749673045,9
"Albuquerque, NM Metro Area",0.4199773822730628,0.4085676956675154,0.32160207732369805,0.30052705805648916,0.31219419322708897,0.3341296472225407,0.3572257728653665,0.38062353632743484,0.40164928704775926,0.4199773822730628,,,,,,0.34356561034923416,10
"Alexandria, LA Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0.1831637376234101,0.06982485157436091,0.116659439494181,0.1831637376234101,,,,,,,,,,,,0.123216009563984,4
"Altoona, PA Metro Area",0.0692589754816112,0.0692589754816112,,,,,,,,,,,,,,0.0,2
"Amarillo, TX Metro Area",0.16081319101075908,0.16081319101075908,,,,,,,,,,,,,,0.0,2
"Ames, IA Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Ann Arbor, MI Metro Area",0.11630922487959494,0.11630922487959494,,,,,,,,,,,,,,0.0,2
"Anniston-Oxford, AL Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Appleton, WI Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Asheville, NC Metro Area",0.08365393566501655,0.030029573533069898,0.08365393566501655,,,,,,,,,,,,,0.0,3
"Athens-Clarke County, GA Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",0.6189724577571656,0.07909044486497852,0.12973432859640577,0.19869176310891812,0.2560573363750993,0.3036666007968404,0.3425139747018512,0.375927118453138,0.40503720935329013,0.4305286464117978,0.4530191947883988,0.47300811648068675,0.49094300885569697,0.5069988882852211,0.521621057176158,0.13583884552343414,25
"Atlantic City-Hammonton, NJ Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Auburn-Opelika, AL Metro Area",0.40515088820717704,0.40515088820717704,,,,,,,,,,,,,,0.0,2
"Augusta-Richmond County, GA-SC Metro Area",0.0990423228141235,0.06432945639010124,0.0990423228141235,,,,,,,,,,,,,0.0,3
"Austin-Round Rock-Georgetown, TX Metro Area",0.40887936288615323,0.746588874482929,0.5646580553438949,0.35114379436518195,0.308909034673868,0.3039667061881879,0.3153837970975203,0.3327058612742124,0.3504780509590061,0.3657387736421984,0.38113356120744935,0.3964070522502605,0.40887936288615323,,,0.5541302413973352,13
"Bakersfield, CA Metro Area",0.3130052395613646,0.8315188417183422,0.3149436129505947,0.23292776459440057,0.22686739858913163,0.24126823809800535,0.26437759895829316,0.28934428560486614,0.3130052395613646,,,,,,,0.4597967397544458,9
"Baltimore-Columbia-Towson, MD Metro Area",0.5645144702231285,0.05784888599573823,0.11168825515001057,0.17725867153773278,0.23673502507290156,0.28682201664981555,0.32841657313880424,0.36372641057981514,0.3941688175547642,0.42073393490152955,0.4441578319848053,0.4649852080164677,0.4835965685555883,0.500396035408786,0.5156733734629474,0.1155986042278272,19
"Bangor, ME Metro Area",0.19448012929426883,0.19448012929426883,,,,,,,,,,,,,,0.0,2
"Barnstable Town, MA Metro Area",0.16615673114883533,0.16615673114883533,,,,,,,,,,,,,,0.0,2
"Baton Rouge, LA Metro Area",0.3071611991401537,0.7242338096306825,0.32158531024403414,0.24824326485100867,0.24610667743069548,0.26559020682005374,0.28612096922021957,0.3071611991401537,,,,,,,,0.43135412824190844,8
"Battle Creek, MI Metro Area",0.08081887217393813,0.08081887217393813,,,,,,,,,,,,,,0.0,2
"Bay City, MI Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Beaumont-Port Arthur, TX Metro Area",0.37070585333239214,0.14275232143308958,0.1902960945312686,0.2429420060057773,0.29356840237799386,0.33540631608086957,0.37070585333239203,,,,,,,,,0.1919968073233785,7
"Beckley, WV Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Bellingham, WA Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Bend, OR Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Billings, MT Metro Area",0.1778095644739458,0.1703462271693008,0.1778095644739458,,,,,,,,,,,,,0.0,3
"Binghamton, NY Metro Area",0.25873036863648147,0.2528276050937971,0.22156342054755174,0.25873036863648147,,,,,,,,,,,,0.2443737980926101,4
"Birmingham-Hoover, AL Metro Area",0.33783205339941613,0.0817846214945257,0.13181558392184922,0.1987693953549392,0.25512582431216035,0.29968124192815027,0.33783205339941613,,,,,,,,,0.13745653359043805,7
"Bismarck, ND Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Blacksburg-Christiansburg, VA Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Bloomington, IL Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Bloomington, IN Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Boise City, ID Metro Area",0.38336055874032815,0.13057588576288637,0.17840395747994064,0.24305127118249248,0.29962092250500194,0.345540201401641,0.38336055874032815,,,,,,,,,0.1840103714751065,7
"Boston-Cambridge-Newton, MA-NH Metro Area",0.4779568666746007,0.07175558916389857,0.11855756525190175,0.18250515257206212,0.23688080422180513,0.2837694154250816,0.3241356175076431,0.3589421742881418,0.3890895738291581,0.4154909955469317,0.43881959866972964,0.4595557468062843,0.4779568666746007,,,0.12427276899595414,13
"Boulder, CO Metro Area",0.08382026999798509,0.08382026999798509,,,,,,,,,,,,,,0.0,2
"Bowling Green, KY Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Bremerton-Silverdale-Port Orchard, WA Metro Area",0.1682458597676526,0.1682458597676526,,,,,,,,,,,,,,0.0,2
"Bridgeport-Stamford-Norwalk, CT Metro Area",0.16710635783718952,0.8393443760699579,0.24669916362294497,0.17195676342398603,0.16710635783718952,,,,,,,,,,,0.4193334343722963,5
"Brownsville-Harlingen, TX Metro Area",0.29000137790447067,0.21766296745313807,0.21605348778770816,0.24753027298703234,0.29000137790447067,,,,,,,,,,,0.2270822427426262,5
"Brunswick, GA Metro Area",0.4127050031139714,0.4127050031139714,,,,,,,,,,,,,,0.0,2
"Buffalo-Cheektowaga, NY Metro Area",0.41968799643393895,0.07110127890076412,0.12382111902409254,0.19375212922415375,0.24849856174321994,0.2931876847805974,0.33202307572952194,0.36578256570642254,0.3946610462702068,0.41968799643393895,,,,,,0.1295581757163368,10
"Burlington, NC Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Burlington-South Burlington, VT Metro Area",0.11957056220291751,0.11957056220291751,,,,,,,,,,,,,,0.0,2
"California-Lexington Park, MD Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Canton-Massillon, OH Metro Area",0.17589246249532442,0.08221791193113503,0.11925209335868436,0.17589246249532442,,,,,,,,,,,,0.1257874892617146,4
"Cape Coral-Fort Myers, FL Metro Area",0.45738749269171397,0.5119726339794755,0.5256889496155233,0.5423659040937547,0.5355233647904117,0.49686101623827483,0.4792653346151686,0.4696772384854895,0.46640249248598764,0.45738749269171397,,,,,,0.5266758292295844,10
"Cape Girardeau, MO-IL Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Carson City, NV Metro Area",0.5835766634531232,0.8855042016806722,0.5835766634531232,,,,,,,,,,,,,0.0,3
"Casper, WY Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Cedar Rapids, IA Metro Area",0.27428043547437486,0.26472488273460104,0.2545711658122466,0.27428043547437486,,,,,,,,,,,,0.2645254946737408,4
"Champaign-Urbana, IL Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Charleston, WV Metro Area",0.2541906084733928,0.1972402951836164,0.20156289084035472,0.2541906084733928,,,,,,,,,,,,0.21766459816578798,4
"Charleston-North Charleston, SC Metro Area",0.16750477773990113,0.17460870777704185,0.16750477773990113,,,,,,,,,,,,,0.0,3
