NAMELSAD,std_dev_all,std_dev_2,std_dev_3,std_dev_4,std_dev_5,std_dev_6,std_dev_7,std_dev_8,std_dev_9,std_dev_10,std_dev_11,std_dev_12,std_dev_13,std_dev_14,std_dev_15,avg_std_dev_2_to_4,count_centers
"Lexington-Fayette, KY Metro Area",0.21932845778301047,0.777492542709934,0.23446713678244668,0.18975637459748784,0.19630705214968835,0.21932845778301047,,,,,,,,,,0.4005720180299561,6
"Lima, OH Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Lincoln, NE Metro Area",0.033674806751009756,0.033674806751009756,,,,,,,,,,,,,,0.0,2
"Little Rock-North Little Rock-Conway, AR Metro Area",0.27618903890808055,0.44659761429723654,0.2901480405232244,0.2654402234370892,0.27618903890808055,,,,,,,,,,,0.3340619594191834,5
"Logan, UT-ID Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Longview, TX Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Longview, WA Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Los Angeles-Long Beach-Anaheim, CA Metro Area",0.7469115193604692,0.3028829699685185,0.31879236888002893,0.36122516166031804,0.3679351410034347,0.38594737371802224,0.4027769055131596,0.42120346596697145,0.43921027866434625,0.45648104978375537,0.4714058105845874,0.48484651228930575,0.49756677960143625,0.5096343970978747,0.5210639069956547,0.32763350016962184,70
"Louisville/Jefferson County, KY-IN Metro Area",0.4692744527965562,0.28124488124488123,0.2031785914610662,0.23154912680586492,0.2719136381107754,0.31140952079132866,0.3471124421748948,0.37841116482423676,0.4059578085856601,0.42992859836406483,0.45105450793787283,0.4692744527965562,,,,0.23865753317060412,12
"Lubbock, TX Metro Area",0.4897230923085162,0.6994556765163298,0.501415283612357,0.4897230923085162,,,,,,,,,,,,0.563531350812401,4
"Lynchburg, VA Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Macon-Bibb County, GA Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
