NAMELSAD,std_dev_all,std_dev_2,std_dev_3,std_dev_4,std_dev_5,std_dev_6,std_dev_7,std_dev_8,std_dev_9,std_dev_10,std_dev_11,std_dev_12,std_dev_13,std_dev_14,std_dev_15,avg_std_dev_2_to_4
"Carson City, NV Metro Area",0.5835766634531232,0.8855042016806722,0.5835766634531232,,,,,,,,,,,,,
"Casper, WY Metro Area",1.0,,,,,,,,,,,,,,,
"Cedar Rapids, IA Metro Area",1.0,,,,,,,,,,,,,,,
"Champaign-Urbana, IL Metro Area",1.0,,,,,,,,,,,,,,,
"Charleston, WV Metro Area",0.1422229440744952,0.1422229440744952,,,,,,,,,,,,,,
"Charleston-North Charleston, SC Metro Area",1.0,,,,,,,,,,,,,,,
"Charlotte-Concord-Gastonia, NC-SC Metro Area",0.14806035699889608,0.022858003101882463,0.07500596225193479,0.14806035699889608,,,,,,,,,,,,0.0819747741175711
"Charlottesville, VA Metro Area",1.0,,,,,,,,,,,,,,,
"Chattanooga, TN-GA Metro Area",1.0,,,,,,,,,,,,,,,
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",0.3737786084227124,0.23331542808629124,0.2292388291276929,0.2545533104098817,0.28709723619806893,0.3192012072915089,0.3474507896038812,0.3737786084227124,,,,,,,,0.23903585587462195
"Chico, CA Metro Area",1.0,,,,,,,,,,,,,,,
"Cincinnati, OH-KY-IN Metro Area",0.21525620609089924,0.3350746789232594,0.21525620609089924,,,,,,,,,,,,,
"Clarksville, TN-KY Metro Area",0.5674850527922657,0.5674850527922657,,,,,,,,,,,,,,
"Cleveland, TN Metro Area",1.0,,,,,,,,,,,,,,,
"Cleveland-Elyria, OH Metro Area",0.2813764392081287,0.2474860652940507,0.16510227859398796,0.1975968060881652,0.2406960341487694,0.2813764392081286,,,,,,,,,,0.20339504999206795
"Coeur d'Alene, ID Metro Area",0.2070646527611284,0.2070646527611284,,,,,,,,,,,,,,
"College Station-Bryan, TX Metro Area",1.0,,,,,,,,,,,,,,,
"Colorado Springs, CO Metro Area",0.21366159955524744,0.28916528641520045,0.21366159955524744,,,,,,,,,,,,,
"Columbia, MO Metro Area",1.0,,,,,,,,,,,,,,,
"Columbia, SC Metro Area",0.4227219706326335,0.4227219706326335,,,,,,,,,,,,,,
"Columbus, GA-AL Metro Area",0.04316636258085915,0.04316636258085915,,,,,,,,,,,,,,
"Columbus, IN Metro Area",1.0,,,,,,,,,,,,,,,
"Columbus, OH Metro Area",0.3213148763004092,0.19842746533821498,0.23551633488624768,0.2596588876521807,0.2889832675366669,0.3213148763004092,,,,,,,,,,0.23120089595888113
"Corpus Christi, TX Metro Area",0.043258051891244764,0.043258051891244764,,,,,,,,,,,,,,
"Corvallis, OR Metro Area",1.0,,,,,,,,,,,,,,,
"Crestview-Fort Walton Beach-Destin, FL Metro Area",0.17629698336741362,0.17629698336741362,,,,,,,,,,,,,,
"Cumberland, MD-WV Metro Area",1.0,,,,,,,,,,,,,,,
"Dallas-Fort Worth-Arlington, TX Metro Area",0.30767385485387244,0.8847800994595527,0.8774148490143338,0.616254691686761,0.5301247506642749,0.497079098177028,0.45944759989820616,0.3761886390846234,0.33590945870824074,0.30767385485387244,,,,,,0.7928165467202158
"Dalton, GA Metro Area",1.0,,,,,,,,,,,,,,,
"Danville, IL Metro Area",1.0,,,,,,,,,,,,,,,
"Daphne-Fairhope-Foley, AL Metro Area",1.0,,,,,,,,,,,,,,,
"Davenport-Moline-Rock Island, IA-IL Metro Area",0.2614003586247564,0.45931651749389746,0.2614003586247564,,,,,,,,,,,,,
"Dayton-Kettering, OH Metro Area",0.09781919111816018,0.09781919111816018,,,,,,,,,,,,,,
"Decatur, AL Metro Area",1.0,,,,,,,,,,,,,,,
"Decatur, IL Metro Area",1.0,,,,,,,,,,,,,,,
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",1.0,,,,,,,,,,,,,,,
"Denver-Aurora-Lakewood, CO Metro Area",0.4070746658136354,0.3682160712991812,0.3989840607290214,0.43270513905165653,0.43712051175959554,0.4070746658136354,,,,,,,,,,0.3999684236932864
"Des Moines-West Des Moines, IA Metro Area",0.11998366046942754,0.0809568034068,0.11998366046942732,,,,,,,,,,,,,
