NAMELSAD,std_dev_all,std_dev_2,std_dev_3,std_dev_4,std_dev_5,std_dev_6,std_dev_7,std_dev_8,std_dev_9,std_dev_10,std_dev_11,std_dev_12,std_dev_13,std_dev_14,std_dev_15,avg_std_dev_2_to_4
"Columbus, IN Metro Area",,,,,,,,,,,,,,,,
"Columbus, OH Metro Area",0.7311,0.3969,0.4469,0.5662,0.6562,0.7311,,,,,,,,,,0.4653
"Corpus Christi, TX Metro Area",0.0865,0.0865,,,,,,,,,,,,,,
"Corvallis, OR Metro Area",,,,,,,,,,,,,,,,
"Crestview-Fort Walton Beach-Destin, FL Metro Area",0.3526,0.3526,,,,,,,,,,,,,,
"Cumberland, MD-WV Metro Area",,,,,,,,,,,,,,,,
"Dallas-Fort Worth-Arlington, TX Metro Area",0.7185,1.6042,1.8492,1.4347,1.2551,1.1683,1.0693,0.8839,0.7877,0.7185,,,,,,1.6303
"Dalton, GA Metro Area",,,,,,,,,,,,,,,,
"Danville, IL Metro Area",,,,,,,,,,,,,,,,
"Daphne-Fairhope-Foley, AL Metro Area",,,,,,,,,,,,,,,,
"Davenport-Moline-Rock Island, IA-IL Metro Area",0.6031,0.9186,0.6031,,,,,,,,,,,,,
"Dayton-Kettering, OH Metro Area",0.1956,0.1956,,,,,,,,,,,,,,
"Decatur, AL Metro Area",,,,,,,,,,,,,,,,
"Decatur, IL Metro Area",,,,,,,,,,,,,,,,
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",,,,,,,,,,,,,,,,
"Denver-Aurora-Lakewood, CO Metro Area",0.9513,0.7364,0.9205,1.0348,1.0414,0.9513,,,,,,,,,,0.8878
"Des Moines-West Des Moines, IA Metro Area",0.2713,0.1557,0.2713,,,,,,,,,,,,,
"Detroit-Warren-Dearborn, MI Metro Area",0.6319,1.9903,1.2778,0.9386,0.7473,0.6966,0.6547,0.6428,0.6279,0.6197,0.6185,0.6236,0.6319,,,1.4365
"Dothan, AL Metro Area",,,,,,,,,,,,,,,,
"Dover, DE Metro Area",,,,,,,,,,,,,,,,
"Dubuque, IA Metro Area",0.4366,0.4366,,,,,,,,,,,,,,
"Duluth, MN-WI Metro Area",,,,,,,,,,,,,,,,
"Durham-Chapel Hill, NC Metro Area",0.6833,1.0954,0.6833,,,,,,,,,,,,,
"East Stroudsburg, PA Metro Area",,,,,,,,,,,,,,,,
"Eau Claire, WI Metro Area",,,,,,,,,,,,,,,,
"El Paso, TX Metro Area",0.0756,0.0756,,,,,,,,,,,,,,
"Elkhart-Goshen, IN Metro Area",,,,,,,,,,,,,,,,
"Enid, OK Metro Area",,,,,,,,,,,,,,,,
"Erie, PA Metro Area",0.1215,0.1215,,,,,,,,,,,,,,
"Eugene-Springfield, OR Metro Area",,,,,,,,,,,,,,,,
"Evansville, IN-KY Metro Area",,,,,,,,,,,,,,,,
"Fargo, ND-MN Metro Area",,,,,,,,,,,,,,,,
"Farmington, NM Metro Area",,,,,,,,,,,,,,,,
"Fayetteville, NC Metro Area",0.7416,0.7416,,,,,,,,,,,,,,
"Fayetteville-Springdale-Rogers, AR Metro Area",0.0883,0.0883,,,,,,,,,,,,,,
"Flagstaff, AZ Metro Area",0.4112,0.4112,,,,,,,,,,,,,,
"Flint, MI Metro Area",0.1811,0.0537,0.1811,,,,,,,,,,,,,
"Florence, SC Metro Area",0.2757,0.2757,,,,,,,,,,,,,,
"Florence-Muscle Shoals, AL Metro Area",,,,,,,,,,,,,,,,
"Fond du Lac, WI Metro Area",,,,,,,,,,,,,,,,
"Fort Collins, CO Metro Area",,,,,,,,,,,,,,,,
"Fort Smith, AR-OK Metro Area",,,,,,,,,,,,,,,,
"Fort Wayne, IN Metro Area",0.1662,0.1662,,,,,,,,,,,,,,
"Fresno, CA Metro Area",0.6159,0.4094,0.4003,0.5073,0.6159,,,,,,,,,,,0.4368
"Gadsden, AL Metro Area",,,,,,,,,,,,,,,,
"Gainesville, FL Metro Area",,,,,,,,,,,,,,,,
"Gainesville, GA Metro Area",,,,,,,,,,,,,,,,
"Glens Falls, NY Metro Area",0.4685,0.4685,,,,,,,,,,,,,,
"Goldsboro, NC Metro Area",,,,,,,,,,,,,,,,
"Grand Forks, ND-MN Metro Area",,,,,,,,,,,,,,,,
