NAMELSAD,beta_all,beta_top_2,beta_top_3,beta_top_4,beta_top_5,beta_top_6,beta_top_7,beta_top_8,beta_top_9,beta_top_10,beta_top_11,beta_top_12,beta_top_13,beta_top_14,beta_top_15,avg_beta_2_to_4,count_centers
"Abilene, TX Metro Area",,,,,,,,,,,,,,,,,1
"Akron, OH Metro Area",-2.213481899875142,-3.56477251376721,-0.9703275778313687,-1.1439443434014531,-1.3612544217239086,-1.5935941048121802,-1.8326033345309936,-2.0689784502425086,-2.2134818998751444,,,,,,,-1.8930148116666776,9
"Albany, GA Metro Area",,,,,,,,,,,,,,,,,1
"Albany-Lebanon, OR Metro Area",,,,,,,,,,,,,,,,,1
"Albany-Schenectady-Troy, NY Metro Area",-2.0239791986404536,-1.291231696155175,-1.004859885157606,-1.1997617977826667,-1.4294177581991867,-1.666007810897608,-1.7794241942037978,-1.9064386296518117,-2.023979198640453,,,,,,,-1.1652844596984826,9
"Albuquerque, NM Metro Area",-2.3499502698699084,-1.1171965293367823,-1.2336026421625799,-1.2938819811560145,-1.445164598239655,-1.6340116152271376,-1.823399713098255,-2.0312542958551876,-2.22712877419203,-2.3499502698699137,,,,,,-1.2148937175517922,10
"Alexandria, LA Metro Area",,,,,,,,,,,,,,,,,1
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",-0.7537244667225915,-0.37569052489050747,-0.5602354900482514,-0.7537244667225916,,,,,,,,,,,,-0.5632168272204502,4
"Altoona, PA Metro Area",-0.3745455078746507,-0.3745455078746507,,,,,,,,,,,,,,,2
"Amarillo, TX Metro Area",-0.5471920617334077,-0.5471920617334077,,,,,,,,,,,,,,,2
"Ames, IA Metro Area",,,,,,,,,,,,,,,,,1
"Ann Arbor, MI Metro Area",-0.46479137845669743,-0.46479137845669743,,,,,,,,,,,,,,,2
"Anniston-Oxford, AL Metro Area",,,,,,,,,,,,,,,,,1
"Appleton, WI Metro Area",,,,,,,,,,,,,,,,,1
"Asheville, NC Metro Area",-0.4272392022416273,-0.2852601028550801,-0.4272392022416273,,,,,,,,,,,,,,3
"Athens-Clarke County, GA Metro Area",,,,,,,,,,,,,,,,,1
