NAMELSAD,std_dev_all,std_dev_2,std_dev_3,std_dev_4,std_dev_5,std_dev_6,std_dev_7,std_dev_8,std_dev_9,std_dev_10,std_dev_11,std_dev_12,std_dev_13,std_dev_14,std_dev_15,avg_std_dev_2_to_4,count_centers_x,count_centers_y
"Phoenix-Mesa-Chandler, AZ Metro Area",0.9531,1.0013,0.9017,0.9604,0.9618,0.9065,0.8808,0.8746,0.8784,0.8855,0.8918,0.8986,0.9057,0.9126,0.9191,0.9567,23,23
"Pine Bluff, AR Metro Area",,,,,,,,,,,,,,,,,1,1
"Pittsburgh, PA Metro Area",0.9776,0.7718,0.6556,0.6764,0.7152,0.7527,0.7927,0.8257,0.8541,0.878,0.8978,0.9145,0.9287,0.9407,0.951,0.705,19,19
"Pittsfield, MA Metro Area",,,,,,,,,,,,,,,,,1,1
"Pocatello, ID Metro Area",,,,,,,,,,,,,,,,,1,1
"Port St. Lucie, FL Metro Area",0.5753,0.4482,0.4574,0.5753,,,,,,,,,,,,0.4905,4,4
"Portland-South Portland, ME Metro Area",0.2015,0.2015,,,,,,,,,,,,,,,2,2
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",0.9484,0.6483,0.533,0.5815,0.6584,0.7269,0.7837,0.8293,0.8652,0.8932,0.9154,0.9336,0.9484,,,0.5907,13,13
"Poughkeepsie-Newburgh-Middletown, NY Metro Area",0.2798,1.9942,2.2259,0.6182,0.2798,,,,,,,,,,,1.6428,5,5
"Prescott Valley-Prescott, AZ Metro Area",,,,,,,,,,,,,,,,,1,1
"Providence-Warwick, RI-MA Metro Area",0.8452,1.0494,1.2146,1.0475,0.9458,0.8679,0.8373,0.8319,0.8365,0.8394,0.8452,,,,,1.1018,11,11
"Provo-Orem, UT Metro Area",,,,,,,,,,,,,,,,,1,1
"Pueblo, CO Metro Area",0.7298,0.4201,0.5867,0.663,0.7298,,,,,,,,,,,0.5487,5,5
"Punta Gorda, FL Metro Area",,,,,,,,,,,,,,,,,1,1
"Racine, WI Metro Area",0.1782,0.1782,,,,,,,,,,,,,,,2,2
"Raleigh-Cary, NC Metro Area",0.8356,0.2755,0.3634,0.4972,0.6191,0.7122,0.7833,0.8356,,,,,,,,0.3723,8,8
"Rapid City, SD Metro Area",,,,,,,,,,,,,,,,,1,1
"Reading, PA Metro Area",,,,,,,,,,,,,,,,,1,1
"Redding, CA Metro Area",,,,,,,,,,,,,,,,,1,1
"Reno, NV Metro Area",0.5286,1.8868,0.5286,,,,,,,,,,,,,,3,3
"Richmond, VA Metro Area",0.0846,0.0846,,,,,,,,,,,,,,,2,2
"Riverside-San Bernardino-Ontario, CA Metro Area",0.9509,1.2991,1.0579,0.8674,0.831,0.8101,0.8029,0.8104,0.8226,0.8345,0.8471,0.8587,0.8691,0.8784,0.8866,1.0882,33,33
"Roanoke, VA Metro Area",0.1874,0.1874,,,,,,,,,,,,,,,2,2
"Rochester, MN Metro Area",,,,,,,,,,,,,,,,,1,1
"Rochester, NY Metro Area",0.1644,0.0333,0.1644,,,,,,,,,,,,,,3,3
"Rockford, IL Metro Area",0.4941,0.2284,0.348,0.4941,,,,,,,,,,,,0.349,4,4
"Rocky Mount, NC Metro Area",,,,,,,,,,,,,,,,,1,1
"Rome, GA Metro Area",,,,,,,,,,,,,,,,,1,1
"Sacramento-Roseville-Folsom, CA Metro Area",0.9576,0.9473,0.8936,0.8517,0.857,0.8801,0.9032,0.9047,0.9094,0.9163,0.9232,0.9283,0.9336,0.939,0.9441,0.9005,18,18
"Saginaw, MI Metro Area",,,,,,,,,,,,,,,,,1,1
"Salem, OR Metro Area",0.6424,0.2979,0.4028,0.5355,0.6424,,,,,,,,,,,0.4051,5,5
"Salinas, CA Metro Area",0.3286,0.2112,0.3286,,,,,,,,,,,,,,3,3
"Salisbury, MD-DE Metro Area",,,,,,,,,,,,,,,,,1,1
"Salt Lake City, UT Metro Area",0.8925,0.6844,0.6545,0.7458,0.8151,0.8564,0.8925,,,,,,,,,0.6938,7,7
"San Angelo, TX Metro Area",,,,,,,,,,,,,,,,,1,1
"San Antonio-New Braunfels, TX Metro Area",0.9937,0.7615,0.7312,0.7473,0.7784,0.8225,0.8566,0.8835,0.9059,0.9226,0.9373,0.9493,0.9596,0.9685,0.9754,0.7474,19,19
"San Diego-Chula Vista-Carlsbad, CA Metro Area",0.9894,0.743,0.8639,0.9365,1.0054,1.0455,1.0169,0.9944,0.981,0.9758,0.9732,0.9731,0.9742,0.9757,0.9778,0.8417,22,22
"San Francisco-Oakland-Berkeley, CA Metro Area",0.9414,0.1275,0.2272,0.3967,0.5393,0.6462,0.7269,0.788,0.8349,0.871,0.8996,0.9227,0.9414,,,0.2427,13,13
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",0.938,1.3582,1.0842,0.9481,0.9428,0.9285,0.9344,0.9312,0.9347,0.9389,0.9431,0.938,,,,1.1435,12,12
"Santa Cruz-Watsonville, CA Metro Area",0.8468,0.8468,,,,,,,,,,,,,,,2,2
"Santa Fe, NM Metro Area",0.5714,0.9489,0.5602,0.5714,,,,,,,,,,,,0.7075,4,4
"Santa Maria-Santa Barbara, CA Metro Area",0.9752,1.5239,1.0788,0.9752,,,,,,,,,,,,1.2114,4,4
"Santa Rosa-Petaluma, CA Metro Area",0.4509,0.1335,0.275,0.4509,,,,,,,,,,,,0.2771,4,4
"Savannah, GA Metro Area",,,,,,,,,,,,,,,,,1,1
"Scranton--Wilkes-Barre, PA Metro Area",1.2737,1.0522,1.2737,,,,,,,,,,,,,,3,3
"Seattle-Tacoma-Bellevue, WA Metro Area",0.6519,0.1175,0.2382,0.4043,0.5448,0.6519,,,,,,,,,,0.245,6,6
"Sebastian-Vero Beach, FL Metro Area",,,,,,,,,,,,,,,,,1,1
"Sebring-Avon Park, FL Metro Area",,,,,,,,,,,,,,,,,1,1
"Sheboygan, WI Metro Area",,,,,,,,,,,,,,,,,1,1
"Shreveport-Bossier City, LA Metro Area",0.2679,0.2679,,,,,,,,,,,,,,,2,2
"Sierra Vista-Douglas, AZ Metro Area",,,,,,,,,,,,,,,,,1,1
"Sioux City, IA-NE-SD Metro Area",,,,,,,,,,,,,,,,,1,1
"Sioux Falls, SD Metro Area",0.3897,0.2669,0.3897,,,,,,,,,,,,,,3,3
"South Bend-Mishawaka, IN-MI Metro Area",0.7746,0.3125,0.4536,0.5786,0.6886,0.7746,,,,,,,,,,0.4401,6,6
"Spartanburg, SC Metro Area",0.2269,0.2269,,,,,,,,,,,,,,,2,2
"Spokane-Spokane Valley, WA Metro Area",0.2509,0.1152,0.2509,,,,,,,,,,,,,,3,3
"Springfield, IL Metro Area",0.3398,0.2402,0.3398,,,,,,,,,,,,,,3,3
"Springfield, MA Metro Area",0.7293,0.4333,0.5318,0.5864,0.661,0.7293,,,,,,,,,,0.5123,6,6
"Springfield, MO Metro Area",,,,,,,,,,,,,,,,,1,1
"Springfield, OH Metro Area",,,,,,,,,,,,,,,,,1,1
"St. Cloud, MN Metro Area",,,,,,,,,,,,,,,,,1,1
"St. George, UT Metro Area",1.0165,1.0165,,,,,,,,,,,,,,,2,2
"St. Joseph, MO-KS Metro Area",,,,,,,,,,,,,,,,,1,1
"St. Louis, MO-IL Metro Area",0.9017,0.0943,0.2201,0.3943,0.5391,0.6479,0.7291,0.7905,0.8376,0.8734,0.9017,,,,,0.2275,11,11
"State College, PA Metro Area",,,,,,,,,,,,,,,,,1,1
"Stockton, CA Metro Area",0.881,1.4894,0.9373,0.862,0.8285,0.8288,0.8461,0.8661,0.881,,,,,,,1.1183,9,9
"Syracuse, NY Metro Area",0.0922,0.0922,,,,,,,,,,,,,,,2,2
"Tallahassee, FL Metro Area",0.1408,0.1408,,,,,,,,,,,,,,,2,2
"Tampa-St. Petersburg-Clearwater, FL Metro Area",0.9805,1.0035,0.6529,0.6188,0.6619,0.7131,0.7614,0.8016,0.8341,0.8607,0.8828,0.9004,0.9153,0.9279,0.9387,0.7721,23,23
"Terre Haute, IN Metro Area",,,,,,,,,,,,,,,,,1,1
"Texarkana, TX-AR Metro Area",,,,,,,,,,,,,,,,,1,1
"Toledo, OH Metro Area",0.7277,0.2611,0.3979,0.527,0.6419,0.7277,,,,,,,,,,0.3872,6,6
"Topeka, KS Metro Area",0.1709,0.1709,,,,,,,,,,,,,,,2,2
"Trenton-Princeton, NJ Metro Area",,,,,,,,,,,,,,,,,1,1
"Tucson, AZ Metro Area",0.9465,0.6832,0.8414,0.8346,0.8731,0.8956,0.9137,0.9274,0.9378,0.9465,,,,,,0.7808,10,10
"Tulsa, OK Metro Area",0.6778,1.4307,1.6164,1.6986,1.0531,0.8372,0.745,0.7057,0.6851,0.6778,,,,,,1.5731,10,10
"Tuscaloosa, AL Metro Area",,,,,,,,,,,,,,,,,1,1
"Tyler, TX Metro Area",,,,,,,,,,,,,,,,,1,1
"Utica-Rome, NY Metro Area",0.1764,0.1764,,,,,,,,,,,,,,,2,2
"Valdosta, GA Metro Area",,,,,,,,,,,,,,,,,1,1
"Vallejo, CA Metro Area",0.4402,0.2029,0.2813,0.4402,,,,,,,,,,,,0.3015,4,4
"Victoria, TX Metro Area",,,,,,,,,,,,,,,,,1,1
"Vineland-Bridgeton, NJ Metro Area",,,,,,,,,,,,,,,,,1,1
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",0.8213,1.5331,1.4229,0.8785,0.7208,0.6796,0.6754,0.689,0.7085,0.7281,0.7474,0.7647,0.7803,0.7932,0.8039,1.2953,17,17
"Visalia, CA Metro Area",1.223,1.6261,1.2922,1.2443,1.223,,,,,,,,,,,1.4009,5,5
"Waco, TX Metro Area",,,,,,,,,,,,,,,,,1,1
"Walla Walla, WA Metro Area",0.6402,0.6402,,,,,,,,,,,,,,,2,2
"Warner Robins, GA Metro Area",,,,,,,,,,,,,,,,,1,1
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",1.0222,0.5757,0.708,0.7298,0.7775,0.8174,0.848,0.8738,0.8961,0.9146,0.9304,0.9437,0.9547,0.9642,0.9724,0.6658,32,32
"Waterloo-Cedar Falls, IA Metro Area",0.2866,0.2866,,,,,,,,,,,,,,,2,2
"Watertown-Fort Drum, NY Metro Area",,,,,,,,,,,,,,,,,1,1
"Wausau-Weston, WI Metro Area",,,,,,,,,,,,,,,,,1,1
"Weirton-Steubenville, WV-OH Metro Area",0.5375,0.4482,0.5375,,,,,,,,,,,,,,3,3
"Wenatchee, WA Metro Area",,,,,,,,,,,,,,,,,1,1
"Wheeling, WV-OH Metro Area",0.5109,0.5587,0.5109,,,,,,,,,,,,,,3,3
"Wichita Falls, TX Metro Area",,,,,,,,,,,,,,,,,1,1
"Wichita, KS Metro Area",0.9046,0.2375,0.3538,0.5196,0.6526,0.7511,0.8207,0.8684,0.9046,,,,,,,0.3621,9,9
"Williamsport, PA Metro Area",,,,,,,,,,,,,,,,,1,1
"Wilmington, NC Metro Area",0.2017,0.2017,,,,,,,,,,,,,,,2,2
"Winchester, VA-WV Metro Area",,,,,,,,,,,,,,,,,1,1
"Winston-Salem, NC Metro Area",0.4266,0.142,0.2751,0.4266,,,,,,,,,,,,0.2727,4,4
"Worcester, MA-CT Metro Area",0.2147,0.0846,0.2147,,,,,,,,,,,,,,3,3
"Yakima, WA Metro Area",0.1763,0.1763,,,,,,,,,,,,,,,2,2
"York-Hanover, PA Metro Area",0.1515,0.1515,,,,,,,,,,,,,,,2,2
"Youngstown-Warren-Boardman, OH-PA Metro Area",1.031,0.5039,0.6154,0.7456,0.8502,0.9094,0.9526,0.9815,0.9974,1.0093,1.0185,1.0264,1.031,,,0.6144,13,13
"Yuba City, CA Metro Area",0.4667,0.4667,,,,,,,,,,,,,,,2,2
"Yuma, AZ Metro Area",0.2366,0.2366,,,,,,,,,,,,,,,2,2
