NAMELSAD,std_dev_all,std_dev_2,std_dev_3,std_dev_4,std_dev_5,std_dev_6,std_dev_7,std_dev_8,std_dev_9,std_dev_10,std_dev_11,std_dev_12,std_dev_13,std_dev_14,std_dev_15,avg_std_dev_2_to_4,count_centers_x,count_centers_y
"Charleston-North Charleston, SC Metro Area",0.3492,0.3492,,,,,,,,,,,,,,,2,2
"Charlotte-Concord-Gastonia, NC-SC Metro Area",0.7727,0.0475,0.1822,0.3624,0.5125,0.6251,0.7093,0.7727,,,,,,,,0.1881,8,8
"Charlottesville, VA Metro Area",,,,,,,,,,,,,,,,,1,1
"Chattanooga, TN-GA Metro Area",0.1629,0.1629,,,,,,,,,,,,,,,2,2
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",0.9228,0.4829,0.5423,0.6123,0.6864,0.7409,0.7878,0.8261,0.8577,0.8837,0.9052,0.9228,,,,0.542,12,12
"Chico, CA Metro Area",,,,,,,,,,,,,,,,,1,1
"Cincinnati, OH-KY-IN Metro Area",0.8271,0.6574,0.5285,0.5856,0.6699,0.735,0.7857,0.8271,,,,,,,,0.5938,8,8
"Clarksville, TN-KY Metro Area",1.0469,1.2499,1.3228,1.1234,1.0469,,,,,,,,,,,1.2342,5,5
"Cleveland, TN Metro Area",,,,,,,,,,,,,,,,,1,1
"Cleveland-Elyria, OH Metro Area",0.9802,0.5206,0.4028,0.4875,0.5892,0.6757,0.7444,0.7982,0.8402,0.8726,0.8982,0.919,0.936,0.9502,0.962,0.4726,17,17
"Coeur d'Alene, ID Metro Area",,,,,,,,,,,,,,,,,1,1
"College Station-Bryan, TX Metro Area",,,,,,,,,,,,,,,,,1,1
"Colorado Springs, CO Metro Area",0.727,0.5783,0.5762,0.6472,0.727,,,,,,,,,,,0.5989,5,5
"Columbia, MO Metro Area",,,,,,,,,,,,,,,,,1,1
"Columbia, SC Metro Area",0.6915,0.8728,0.6789,0.68,0.6915,,,,,,,,,,,0.751,5,5
"Columbus, GA-AL Metro Area",0.0863,0.0863,,,,,,,,,,,,,,,2,2
"Columbus, IN Metro Area",,,,,,,,,,,,,,,,,1,1
"Columbus, OH Metro Area",1.0091,0.3969,0.5212,0.6529,0.7638,0.8394,0.8946,0.9302,0.9551,0.9725,0.9863,0.9965,1.0041,1.0091,,0.516,14,14
"Corpus Christi, TX Metro Area",0.394,0.0865,0.2166,0.394,,,,,,,,,,,,0.2234,4,4
"Corvallis, OR Metro Area",,,,,,,,,,,,,,,,,1,1
"Crestview-Fort Walton Beach-Destin, FL Metro Area",0.3526,0.3526,,,,,,,,,,,,,,,2,2
"Cumberland, MD-WV Metro Area",,,,,,,,,,,,,,,,,1,1
"Dallas-Fort Worth-Arlington, TX Metro Area",0.7467,1.7029,1.9541,1.4611,1.2621,1.1662,1.0704,1.0159,0.9822,0.8846,0.8209,0.7821,0.7562,0.7408,0.7314,1.7087,27,27
"Dalton, GA Metro Area",,,,,,,,,,,,,,,,,1,1
"Danville, IL Metro Area",,,,,,,,,,,,,,,,,1,1
"Daphne-Fairhope-Foley, AL Metro Area",,,,,,,,,,,,,,,,,1,1
"Davenport-Moline-Rock Island, IA-IL Metro Area",0.7488,0.9186,0.714,0.6953,0.7181,0.7488,,,,,,,,,,0.7839,6,6
"Dayton-Kettering, OH Metro Area",0.7675,0.1956,0.3062,0.47,0.5978,0.6959,0.7675,,,,,,,,,0.316,7,7
"Decatur, AL Metro Area",,,,,,,,,,,,,,,,,1,1
"Decatur, IL Metro Area",,,,,,,,,,,,,,,,,1,1
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",0.7011,0.1896,0.3341,0.4793,0.6042,0.7011,,,,,,,,,,0.3256,6,6
"Denver-Aurora-Lakewood, CO Metro Area",0.9721,0.7364,0.9205,1.0348,1.0414,0.9733,0.9451,0.9365,0.9362,0.9397,0.9447,0.9503,0.9554,0.9604,0.9648,0.8878,17,17
"Des Moines-West Des Moines, IA Metro Area",0.4445,0.1619,0.2768,0.4445,,,,,,,,,,,,0.2862,4,4
"Detroit-Warren-Dearborn, MI Metro Area",0.8172,1.868,1.2668,0.9526,0.7974,0.7486,0.7051,0.6913,0.6945,0.6963,0.6989,0.7052,0.7114,0.719,0.727,1.392,29,29
"Dothan, AL Metro Area",,,,,,,,,,,,,,,,,1,1
"Dover, DE Metro Area",,,,,,,,,,,,,,,,,1,1
"Dubuque, IA Metro Area",0.4366,0.4366,,,,,,,,,,,,,,,2,2
"Duluth, MN-WI Metro Area",0.1317,0.1317,,,,,,,,,,,,,,,2,2
"Durham-Chapel Hill, NC Metro Area",0.6746,1.2992,0.6746,,,,,,,,,,,,,,3,3
"East Stroudsburg, PA Metro Area",,,,,,,,,,,,,,,,,1,1
"Eau Claire, WI Metro Area",,,,,,,,,,,,,,,,,1,1
"El Paso, TX Metro Area",0.6514,0.0984,0.2225,0.4007,0.5469,0.6514,,,,,,,,,,0.2317,6,6
"Elkhart-Goshen, IN Metro Area",,,,,,,,,,,,,,,,,1,1
"Enid, OK Metro Area",,,,,,,,,,,,,,,,,1,1
"Erie, PA Metro Area",0.5145,0.243,0.3761,0.5145,,,,,,,,,,,,0.3697,4,4
"Eugene-Springfield, OR Metro Area",,,,,,,,,,,,,,,,,1,1
"Evansville, IN-KY Metro Area",0.0782,0.0782,,,,,,,,,,,,,,,2,2
"Fargo, ND-MN Metro Area",,,,,,,,,,,,,,,,,1,1
"Farmington, NM Metro Area",,,,,,,,,,,,,,,,,1,1
