NAMELSAD,std_dev_all,std_dev_2,std_dev_3,std_dev_4,std_dev_5,std_dev_6,std_dev_7,std_dev_8,std_dev_9,std_dev_10,std_dev_11,std_dev_12,std_dev_13,std_dev_14,std_dev_15,avg_std_dev_2_to_4
"Abilene, TX Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Akron, OH Metro Area",0.2510807489360466,0.7553887139743279,0.2510807489360466,,,,,,,,,,,,,0.0
"Albany, GA Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Albany-Lebanon, OR Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Albany-Schenectady-Troy, NY Metro Area",0.26627867947854433,0.46095523402152594,0.2631210567957941,0.2594040261603384,0.26627867947854433,,,,,,,,,,,0.32782677232588614
"Albuquerque, NM Metro Area",0.21269855533580106,0.4085676956675154,0.22204634175345683,0.21269855533580106,,,,,,,,,,,,0.2811041975855911
"Alexandria, LA Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Altoona, PA Metro Area",0.0692589754816112,0.0692589754816112,,,,,,,,,,,,,,0.0
"Amarillo, TX Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Ames, IA Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Ann Arbor, MI Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Anniston-Oxford, AL Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Appleton, WI Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Asheville, NC Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Athens-Clarke County, GA Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",0.235356696402244,0.05677210056772097,0.10740678841651818,0.17538184495596987,0.235356696402244,,,,,,,,,,,0.11318691131340301
"Atlantic City-Hammonton, NJ Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Auburn-Opelika, AL Metro Area",0.40515088820717704,0.40515088820717704,,,,,,,,,,,,,,0.0
"Augusta-Richmond County, GA-SC Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Austin-Round Rock-Georgetown, TX Metro Area",0.2832857182438938,0.746588874482929,0.5646580553438949,0.35114379436518195,0.295566367808044,0.2832857182438938,,,,,,,,,,0.5541302413973352
"Bakersfield, CA Metro Area",0.18812689101445979,0.8315188417183422,0.18812689101445979,,,,,,,,,,,,,0.0
"Baltimore-Columbia-Towson, MD Metro Area",0.1533865812543047,0.03440419461636657,0.08392707142923572,0.1533865812543047,,,,,,,,,,,,0.09057261576663567
"Bangor, ME Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Barnstable Town, MA Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Baton Rouge, LA Metro Area",0.7242338096306825,0.7242338096306825,,,,,,,,,,,,,,0.0
"Battle Creek, MI Metro Area",0.08081887217393813,0.08081887217393813,,,,,,,,,,,,,,0.0
"Bay City, MI Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Beaumont-Port Arthur, TX Metro Area",0.1341178513008089,0.09341396149077752,0.1341178513008089,,,,,,,,,,,,,0.0
"Beckley, WV Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Bellingham, WA Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Bend, OR Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Billings, MT Metro Area",0.1778095644739458,0.1703462271693008,0.1778095644739458,,,,,,,,,,,,,0.0
"Binghamton, NY Metro Area",0.22156342054755174,0.2528276050937971,0.22156342054755174,,,,,,,,,,,,,0.0
"Birmingham-Hoover, AL Metro Area",0.07654051321858268,0.07654051321858268,,,,,,,,,,,,,,0.0
"Bismarck, ND Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Blacksburg-Christiansburg, VA Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Bloomington, IL Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Bloomington, IN Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Boise City, ID Metro Area",0.16343105273094083,0.12081738624409677,0.16343105273094083,,,,,,,,,,,,,0.0
"Boston-Cambridge-Newton, MA-NH Metro Area",0.27766515471179853,0.07175558916389857,0.11855756525190175,0.17431869855979065,0.22970384365782803,0.27766515471179865,,,,,,,,,,0.12154395099186366
"Boulder, CO Metro Area",0.08382026999798509,0.08382026999798509,,,,,,,,,,,,,,0.0
"Bowling Green, KY Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Bremerton-Silverdale-Port Orchard, WA Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Bridgeport-Stamford-Norwalk, CT Metro Area",0.1546496526708856,0.8393443760699579,0.1546496526708856,,,,,,,,,,,,,0.0
"Brownsville-Harlingen, TX Metro Area",0.12679909229382325,0.12679909229382325,,,,,,,,,,,,,,0.0
"Brunswick, GA Metro Area",0.4127050031139714,0.4127050031139714,,,,,,,,,,,,,,0.0
"Buffalo-Cheektowaga, NY Metro Area",0.09219973165404738,0.0702432304648054,0.09219973165404738,,,,,,,,,,,,,0.0
"Burlington, NC Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Burlington-South Burlington, VT Metro Area",0.11957056220291751,0.11957056220291751,,,,,,,,,,,,,,0.0
"California-Lexington Park, MD Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Canton-Massillon, OH Metro Area",0.05025407562957862,0.05025407562957862,,,,,,,,,,,,,,0.0
"Cape Coral-Fort Myers, FL Metro Area",0.32918014125562356,0.48310481964568786,0.32918014125562356,,,,,,,,,,,,,0.0
"Cape Girardeau, MO-IL Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Carson City, NV Metro Area",0.5835766634531232,0.8855042016806722,0.5835766634531232,,,,,,,,,,,,,0.0
"Casper, WY Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Cedar Rapids, IA Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Champaign-Urbana, IL Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Charleston, WV Metro Area",0.1147111479848042,0.1147111479848042,,,,,,,,,,,,,,0.0
"Charleston-North Charleston, SC Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Charlotte-Concord-Gastonia, NC-SC Metro Area",0.14781167903913206,0.02245324676217919,0.07469090073773599,0.14781167903913206,,,,,,,,,,,,0.08165194217968241
"Charlottesville, VA Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Chattanooga, TN-GA Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",0.3701891467228029,0.2414363099624851,0.23505855594030367,0.2560102223418462,0.2881000891500354,0.315615604462001,0.3436676070897302,0.3701891467228029,,,,,,,,0.24416836274821166
"Chico, CA Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Cincinnati, OH-KY-IN Metro Area",0.2129439691119729,0.32869036304885,0.2129439691119729,,,,,,,,,,,,,0.0
"Clarksville, TN-KY Metro Area",0.4973521378003233,0.4973521378003233,,,,,,,,,,,,,,0.0
"Cleveland, TN Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Cleveland-Elyria, OH Metro Area",0.1957006395500901,0.26030814464971985,0.16891033483450402,0.1957006395500901,,,,,,,,,,,,0.20830637301143798
"Coeur d'Alene, ID Metro Area",0.0,,,,,,,,,,,,,,,0.0
"College Station-Bryan, TX Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Colorado Springs, CO Metro Area",0.21366159955524744,0.28916528641520045,0.21366159955524744,,,,,,,,,,,,,0.0
"Columbia, MO Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Columbia, SC Metro Area",0.43639100407295905,0.43639100407295905,,,,,,,,,,,,,,0.0
"Columbus, GA-AL Metro Area",0.04316636258085915,0.04316636258085915,,,,,,,,,,,,,,0.0
"Columbus, IN Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Columbus, OH Metro Area",0.3128219967208812,0.19842746533821498,0.19370312439533732,0.23677282423447155,0.27543139319806753,0.3128219967208812,,,,,,,,,,0.20963447132267463
"Corpus Christi, TX Metro Area",0.043258051891244764,0.043258051891244764,,,,,,,,,,,,,,0.0
"Corvallis, OR Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Crestview-Fort Walton Beach-Destin, FL Metro Area",0.17629698336741362,0.17629698336741362,,,,,,,,,,,,,,0.0
"Cumberland, MD-WV Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Dallas-Fort Worth-Arlington, TX Metro Area",0.3213302046536354,0.8514658250975833,0.8469361491390679,0.6109673283099535,0.5297333079260427,0.49899088731820085,0.46397661828537506,0.3855677497811366,0.34774999850254573,0.3213302046536354,,,,,,0.769789767515535
"Dalton, GA Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Danville, IL Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Daphne-Fairhope-Foley, AL Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Davenport-Moline-Rock Island, IA-IL Metro Area",0.2614003586247564,0.45931651749389746,0.2614003586247564,,,,,,,,,,,,,0.0
"Dayton-Kettering, OH Metro Area",0.09781919111816018,0.09781919111816018,,,,,,,,,,,,,,0.0
"Decatur, AL Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Decatur, IL Metro Area",0.0,,,,,,,,,,,,,,,0.0
