NAMELSAD,beta_all,beta_top_2,beta_top_3,beta_top_4,beta_top_5,beta_top_6,beta_top_7,beta_top_8,beta_top_9,beta_top_10,beta_top_11,beta_top_12,beta_top_13,beta_top_14,beta_top_15,avg_beta_2_to_4
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",-1.771167323031876,-0.7281144899045497,-0.9303835091589036,-1.1411728956409968,-1.3107195238719647,-1.4494178714012533,-1.4760088991681093,-1.5483305067259256,-1.6570456513900194,-1.771167323031881,,,,,,-0.93322363156815
"Chico, CA Metro Area",,,,,,,,,,,,,,,,
"Cincinnati, OH-KY-IN Metro Area",-0.7314514323901229,-0.8825266211393468,-0.7314514323901229,,,,,,,,,,,,,
"Clarksville, TN-KY Metro Area",-7.838630422796671,-7.838630422796671,,,,,,,,,,,,,,
"Cleveland, TN Metro Area",,,,,,,,,,,,,,,,
"Cleveland-Elyria, OH Metro Area",-0.7307630340011444,-0.7430032251890977,-0.5267066475968767,-0.6282882649729371,-0.7307630340011447,,,,,,,,,,,-0.6326660459196372
"Coeur d'Alene, ID Metro Area",,,,,,,,,,,,,,,,
"College Station-Bryan, TX Metro Area",,,,,,,,,,,,,,,,
"Colorado Springs, CO Metro Area",-0.7991110384578042,-0.8059596986220594,-0.7991110384578042,,,,,,,,,,,,,
"Columbia, MO Metro Area",,,,,,,,,,,,,,,,
"Columbia, SC Metro Area",-1.1613854268889712,-1.1613854268889712,,,,,,,,,,,,,,
"Columbus, GA-AL Metro Area",-0.31819836280502145,-0.31819836280502145,,,,,,,,,,,,,,
"Columbus, IN Metro Area",,,,,,,,,,,,,,,,
"Columbus, OH Metro Area",-1.4247406386363952,-0.6183023711286356,-0.9243454028484792,-1.1322480397734531,-1.2579837897573847,-1.4247406386363937,,,,,,,,,,-0.891631937916856
"Corpus Christi, TX Metro Area",-0.32180689989334443,-0.32180689989334443,,,,,,,,,,,,,,
"Corvallis, OR Metro Area",,,,,,,,,,,,,,,,
"Crestview-Fort Walton Beach-Destin, FL Metro Area",-0.5761745041873939,-0.5761745041873948,,,,,,,,,,,,,,
"Cumberland, MD-WV Metro Area",,,,,,,,,,,,,,,,
"Dallas-Fort Worth-Arlington, TX Metro Area",-2.0906281783877,-6.543507609238902,-7.867953110643759,-3.7226345136846595,-3.6118552882782375,-3.946377595988038,-4.018063620276431,-2.4034887800271787,-2.3062852683310213,-2.35784531220742,-2.0906281783877003,,,,,-6.044698411189107
"Dalton, GA Metro Area",,,,,,,,,,,,,,,,
"Danville, IL Metro Area",,,,,,,,,,,,,,,,
"Daphne-Fairhope-Foley, AL Metro Area",,,,,,,,,,,,,,,,
"Davenport-Moline-Rock Island, IA-IL Metro Area",-0.8458001857655755,-1.2853210630737815,-0.8458001857655761,,,,,,,,,,,,,
"Dayton-Kettering, OH Metro Area",-0.4301751535631601,-0.4301751535631601,,,,,,,,,,,,,,
"Decatur, AL Metro Area",,,,,,,,,,,,,,,,
"Decatur, IL Metro Area",,,,,,,,,,,,,,,,
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",-0.3093842029372979,-0.3093842029372979,,,,,,,,,,,,,,
"Denver-Aurora-Lakewood, CO Metro Area",-1.7746301656604269,-1.000915474478001,-1.4999746777453118,-2.036104452001255,-2.453422224375042,-1.7746301656604246,,,,,,,,,,-1.5123315347415227
"Des Moines-West Des Moines, IA Metro Area",-0.5662630491429805,-0.3862823967217381,-0.5662630491429806,,,,,,,,,,,,,
