NAMELSAD,std_dev_all,std_dev_2,std_dev_3,std_dev_4,std_dev_5,std_dev_6,std_dev_7,std_dev_8,std_dev_9,std_dev_10,std_dev_11,std_dev_12,std_dev_13,std_dev_14,std_dev_15,avg_std_dev_2_to_4,count_centers_x,count_centers_y
"Abilene, TX Metro Area",,,,,,,,,,,,,,,,,1,1
"Akron, OH Metro Area",0.547,1.5108,0.6073,0.5299,0.5251,0.547,,,,,,,,,,0.9176,6,6
"Albany, GA Metro Area",,,,,,,,,,,,,,,,,1,1
"Albany-Lebanon, OR Metro Area",,,,,,,,,,,,,,,,,1,1
"Albany-Schenectady-Troy, NY Metro Area",0.6819,0.9219,0.6071,0.6204,0.64,0.6819,,,,,,,,,,0.7277,6,6
"Albuquerque, NM Metro Area",0.75,0.8171,0.5321,0.5663,0.6403,0.7044,0.75,,,,,,,,,0.6481,7,7
"Alexandria, LA Metro Area",,,,,,,,,,,,,,,,,1,1
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0.0895,0.0895,,,,,,,,,,,,,,,2,2
"Altoona, PA Metro Area",0.1385,0.1385,,,,,,,,,,,,,,,2,2
"Amarillo, TX Metro Area",,,,,,,,,,,,,,,,,1,1
"Ames, IA Metro Area",,,,,,,,,,,,,,,,,1,1
"Ann Arbor, MI Metro Area",,,,,,,,,,,,,,,,,1,1
"Anniston-Oxford, AL Metro Area",,,,,,,,,,,,,,,,,1,1
"Appleton, WI Metro Area",,,,,,,,,,,,,,,,,1,1
"Asheville, NC Metro Area",0.0601,0.0601,,,,,,,,,,,,,,,2,2
"Athens-Clarke County, GA Metro Area",,,,,,,,,,,,,,,,,1,1
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",1.0011,0.1582,0.2793,0.4487,0.5885,0.6895,0.7651,0.8223,0.8642,0.8966,0.9223,0.943,0.9599,0.9736,0.9845,0.2869,17,17
"Atlantic City-Hammonton, NJ Metro Area",,,,,,,,,,,,,,,,,1,1
"Auburn-Opelika, AL Metro Area",0.8103,0.8103,,,,,,,,,,,,,,,2,2
"Augusta-Richmond County, GA-SC Metro Area",,,,,,,,,,,,,,,,,1,1
"Austin-Round Rock-Georgetown, TX Metro Area",0.7251,1.4932,1.3028,0.8398,0.736,0.7092,0.713,0.7194,0.7251,,,,,,,1.23,9,9
"Bakersfield, CA Metro Area",0.3598,1.663,0.4666,0.3598,,,,,,,,,,,,0.8762,4,4
"Baltimore-Columbia-Towson, MD Metro Area",0.8723,0.0688,0.2037,0.3825,0.5305,0.6424,0.7257,0.7886,0.836,0.8723,,,,,,0.2091,10,10
"Bangor, ME Metro Area",,,,,,,,,,,,,,,,,1,1
"Barnstable Town, MA Metro Area",,,,,,,,,,,,,,,,,1,1
"Baton Rouge, LA Metro Area",0.4774,1.4485,0.5581,0.4699,0.4774,,,,,,,,,,,0.8602,5,5
"Battle Creek, MI Metro Area",0.1616,0.1616,,,,,,,,,,,,,,,2,2
"Bay City, MI Metro Area",,,,,,,,,,,,,,,,,1,1
"Beaumont-Port Arthur, TX Metro Area",0.4763,0.1868,0.3094,0.4763,,,,,,,,,,,,0.3157,4,4
"Beckley, WV Metro Area",,,,,,,,,,,,,,,,,1,1
"Bellingham, WA Metro Area",,,,,,,,,,,,,,,,,1,1
"Bend, OR Metro Area",,,,,,,,,,,,,,,,,1,1
"Billings, MT Metro Area",0.4102,0.3407,0.4102,,,,,,,,,,,,,,3,3
"Binghamton, NY Metro Area",0.5112,0.5057,0.5112,,,,,,,,,,,,,,3,3
"Birmingham-Hoover, AL Metro Area",0.4217,0.1531,0.2599,0.4217,,,,,,,,,,,,0.2705,4,4
"Bismarck, ND Metro Area",,,,,,,,,,,,,,,,,1,1
"Blacksburg-Christiansburg, VA Metro Area",,,,,,,,,,,,,,,,,1,1
"Bloomington, IL Metro Area",,,,,,,,,,,,,,,,,1,1
"Bloomington, IN Metro Area",,,,,,,,,,,,,,,,,1,1
"Boise City, ID Metro Area",0.5533,0.2416,0.3852,0.5533,,,,,,,,,,,,0.3841,4,4
