NAMELSAD,beta_all,beta_top_2,beta_top_3,beta_top_4,beta_top_5,beta_top_6,beta_top_7,beta_top_8,beta_top_9,beta_top_10,beta_top_11,beta_top_12,beta_top_13,beta_top_14,beta_top_15,avg_beta_2_to_4,count_centers
"Abilene, TX Metro Area",,,,,,,,,,,,,,,,,1
"Akron, OH Metro Area",-1.877347938658369,-3.56477251376721,-0.8183814512343303,-1.0417847552216344,-1.2724560536045013,-1.5036379861958695,-1.7297395395431705,-1.8773479386583656,,,,,,,,-1.8083129067410582,8
"Albany, GA Metro Area",,,,,,,,,,,,,,,,,1
"Albany-Lebanon, OR Metro Area",,,,,,,,,,,,,,,,,1
"Albany-Schenectady-Troy, NY Metro Area",-1.6899330035604598,-1.291231696155175,-0.8537042017246435,-1.0547290351571372,-1.2730033849049125,-1.4066931237930311,-1.5518773779570303,-1.6899330035604598,,,,,,,,-1.0665549776789853,8
"Albuquerque, NM Metro Area",-2.0306235457884507,-1.1171965293367823,-0.8441397450468582,-1.0109371024764267,-1.2159307532889652,-1.4322571860972046,-1.6538700038506362,-1.8793484432116525,-2.030623545788454,,,,,,,-0.990757792286689,9
"Alexandria, LA Metro Area",,,,,,,,,,,,,,,,,1
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",-0.5503841710014135,-0.37569052489050747,-0.5503841710014123,,,,,,,,,,,,,,3
"Altoona, PA Metro Area",-0.3745455078746507,-0.3745455078746507,,,,,,,,,,,,,,,2
"Amarillo, TX Metro Area",,,,,,,,,,,,,,,,,1
"Ames, IA Metro Area",,,,,,,,,,,,,,,,,1
"Ann Arbor, MI Metro Area",-0.3512964636337316,-0.3512964636337316,,,,,,,,,,,,,,,2
"Anniston-Oxford, AL Metro Area",,,,,,,,,,,,,,,,,1
"Appleton, WI Metro Area",,,,,,,,,,,,,,,,,1
"Asheville, NC Metro Area",-0.4272392022416273,-0.2852601028550801,-0.4272392022416273,,,,,,,,,,,,,,3
"Athens-Clarke County, GA Metro Area",,,,,,,,,,,,,,,,,1
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",-4.80844409456966,-0.39414098241205986,-0.5909336571689829,-0.7928881624659597,-1.0204187780619363,-1.26083791419171,-1.5272035002557747,-1.788897988297214,-2.0457843637256863,-2.304620599445057,-2.5839240459715334,-2.876270514475009,-3.166999434507048,-3.4520146696338396,-3.733706873539061,-0.5926542673490008,19
"Atlantic City-Hammonton, NJ Metro Area",,,,,,,,,,,,,,,,,1
"Auburn-Opelika, AL Metro Area",-1.1068121080317888,-1.106812108031785,,,,,,,,,,,,,,,2
"Augusta-Richmond County, GA-SC Metro Area",-0.2893837672857536,-0.2893837672857536,,,,,,,,,,,,,,,2
"Austin-Round Rock-Georgetown, TX Metro Area",-3.439559323875198,-3.4218378673143066,-2.5804546333484946,-1.3417287442146884,-1.5230462627620183,-1.7326510720210868,-1.969917011699916,-2.2180509891006537,-2.4738005093433157,-2.7252157372783077,-2.9781876831481666,-3.234084729511695,-3.4395593238751925,,,-2.4480070816258297,13
"Bakersfield, CA Metro Area",-1.2386561002027139,-5.420015402865406,-0.6445922236656663,-0.8353132377218507,-1.0343728772964393,-1.2386561002027134,,,,,,,,,,-2.299973621417641,6
"Baltimore-Columbia-Towson, MD Metro Area",-3.1025465988354886,-0.35088690918872695,-0.5128623189849845,-0.6795651273152713,-0.8530578608714956,-1.0458788573764501,-1.2403928457917464,-1.4365382243210996,-1.6382648292656272,-1.8515803086937943,-2.0686654674969778,-2.285689583954907,-2.5492754662472414,-2.809117298913069,-3.1025465988354877,-0.5144381184963276,15
"Bangor, ME Metro Area",,,,,,,,,,,,,,,,,1
"Barnstable Town, MA Metro Area",-0.5571577640715774,-0.5571577640715774,,,,,,,,,,,,,,,2
"Baton Rouge, LA Metro Area",-1.790915319472187,-3.0994201248984092,-0.7392003631358635,-0.9497174226763921,-1.1606034182320484,-1.3784784748289451,-1.5927585160345403,-1.7909153194721874,,,,,,,,-1.5961126369035548,8
"Battle Creek, MI Metro Area",-0.3975282055199055,-0.3975282055199055,,,,,,,,,,,,,,,2
"Bay City, MI Metro Area",,,,,,,,,,,,,,,,,1
"Beaumont-Port Arthur, TX Metro Area",-1.4837736300952282,-0.5137045672027674,-0.7416558865911064,-0.9797936078378296,-1.2269783035423543,-1.483773630095225,,,,,,,,,,-0.7450513538772344,6
"Beckley, WV Metro Area",,,,,,,,,,,,,,,,,1
"Bellingham, WA Metro Area",,,,,,,,,,,,,,,,,1
"Bend, OR Metro Area",,,,,,,,,,,,,,,,,1
"Billings, MT Metro Area",-0.775532384291121,-0.564996559343814,-0.7755323842911226,,,,,,,,,,,,,,3
"Binghamton, NY Metro Area",-1.146305791817139,-0.727247643678344,-0.8984896502027215,-1.1463057918171413,,,,,,,,,,,,-0.9240143618994022,4
"Birmingham-Hoover, AL Metro Area",-0.9160663544758751,-0.3891148855949147,-0.559110037113795,-0.7347910016805187,-0.9160663544758776,,,,,,,,,,,-0.5610053081297428,5
"Bismarck, ND Metro Area",,,,,,,,,,,,,,,,,1
"Blacksburg-Christiansburg, VA Metro Area",,,,,,,,,,,,,,,,,1
"Bloomington, IL Metro Area",,,,,,,,,,,,,,,,,1
"Bloomington, IN Metro Area",,,,,,,,,,,,,,,,,1
"Boise City, ID Metro Area",-1.5421594131127923,-0.4912072137624298,-0.7366408164661603,-0.9883972712328304,-1.2564880871456299,-1.5421594131127925,,,,,,,,,,-0.7387484338204735,6
"Boston-Cambridge-Newton, MA-NH Metro Area",-1.986954282962591,-0.37958017625662555,-0.5662435673761008,-0.753058347186062,-0.9293894176679892,-1.0991343371453923,-1.272771505330227,-1.4495555795080801,-1.630140915096906,-1.8151615459939519,-1.9869542829625912,,,,,-0.5662940302729295,11
"Boulder, CO Metro Area",-0.4033753781514296,-0.40337537815142976,,,,,,,,,,,,,,,2
"Bowling Green, KY Metro Area",,,,,,,,,,,,,,,,,1
"Bremerton-Silverdale-Port Orchard, WA Metro Area",,,,,,,,,,,,,,,,,1
"Bridgeport-Stamford-Norwalk, CT Metro Area",-0.9321346303701209,-5.709907142934377,-0.5960940497365028,-0.7815238034316598,-0.9321346303701205,,,,,,,,,,,-2.3625083320341798,5
"Brownsville-Harlingen, TX Metro Area",-1.0984359127525105,-0.6558205174718322,-0.9002587313798387,-1.0984359127525098,,,,,,,,,,,,-0.8848383872013935,4
"Brunswick, GA Metro Area",-1.1299151344047271,-1.1299151344047271,,,,,,,,,,,,,,,2
"Buffalo-Cheektowaga, NY Metro Area",-1.685835335829256,-0.3782649053500484,-0.5673854451476019,-0.7723572329064461,-0.9571144049650692,-1.142954757937826,-1.3307263879683642,-1.5215139055087012,-1.6858353358292557,,,,,,,-0.5726691944680321,9
"Burlington, NC Metro Area",,,,,,,,,,,,,,,,,1
"Burlington-South Burlington, VT Metro Area",-0.4708433541347888,-0.4708433541347888,,,,,,,,,,,,,,,2
"California-Lexington Park, MD Metro Area",,,,,,,,,,,,,,,,,1
"Canton-Massillon, OH Metro Area",-0.71367332873041,-0.4002590326036206,-0.5815272863391008,-0.7136733287304098,,,,,,,,,,,,-0.5651532158910437,4
"Cape Coral-Fort Myers, FL Metro Area",-3.4079959441295706,-1.3745295774373492,-2.02054354558724,-2.5608838354423797,-3.017944660906912,-3.1781380228625347,-3.3893412566823695,-3.4079959441295715,,,,,,,,-1.9853189861556562,8
"Cape Girardeau, MO-IL Metro Area",,,,,,,,,,,,,,,,,1
